Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
1112 SOMERVILLE AVE,3093016035,RESSU - Secondary Unit,TS-Two Storey,2024,1393,2024,8,571429,410.21,582900,418.45
1039 ROSEMOUNT AVE,3093017155,RESSU - Secondary Unit,TS-Two Storey,2024,1536,2025,2,585000,380.86,586800,382.03
219 OAKLAND AVE,4000009000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1936,1070,2023,6,297000,277.57,330900,309.25
10 ROWE ST,4000016000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1937,1032,2025,2,281500,272.77,284300,275.48
269 HAWTHORNE AVE,4000159500,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,1159,2023,7,400000,345.13,444800,383.78
1106 ROTHESAY ST,4000244500,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,970,2023,9,330000,340.21,365600,376.91
284 EDISON AVE,4000275000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1952,1050,2023,8,330000,314.29,366300,348.86
470 MARK PEARCE AVE,4000540500,RESSD - Detached SIngle Dwelling,OS-One Storey,1960,1194,2023,9,400000,335.01,443200,371.19
681 OAKLAND AVE,4000682000,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,1040,2025,2,370000,355.77,373700,359.33
576 BARDAL BAY,4000726500,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,920,2025,1,335567,364.75,341900,371.63
1219 DE GRAFF PL,4000865500,RESSD - Detached SIngle Dwelling,OS-One Storey,1962,1112,2024,10,320534,288.25,336200,302.34
637 EDISON AVE,4000904800,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1936,1200,2024,3,320000,266.67,350700,292.25
337 DOUGLAS AVE,4001074000,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1038,2024,7,476000,458.57,514100,495.28
61 EVENLEA WALK,4001090400,RESSD - Detached SIngle Dwelling,OS-One Storey,1976,1207,2024,3,347500,287.90,380900,315.58
330 FOXDALE AVE,4001185700,RESSD - Detached SIngle Dwelling,OS-One Storey,1977,1861,2023,10,505000,271.36,558500,300.11
351 BONNER AVE,4001285700,RESSD - Detached SIngle Dwelling,OS-One Storey,1976,1691,2023,8,450000,266.11,499500,295.39
102 WIEBE'S DR,4001305900,RESSD - Detached SIngle Dwelling,OS-One Storey,1983,1472,2024,8,505000,343.07,540400,367.12
275 HEADMASTER ROW,4001347400,RESSD - Detached SIngle Dwelling,OS-One Storey,1984,1573,2023,3,521000,331.21,583500,370.95
340 EMERSON AVE,4001546600,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,1981,1584,2024,5,512500,323.55,560200,353.66
38 KEITH BLACK BAY,4001783200,RESSD - Detached SIngle Dwelling,OS-One Storey,1982,1268,2023,3,440800,347.63,493700,389.35
98 BRET BAY,4001796800,RESSS - Side By Side,OS-One Storey,1974,928,2024,5,345000,371.77,377100,406.36
15 ROSELAWN BAY,4001865900,RESSD - Detached SIngle Dwelling,OS-One Storey,1967,1238,2024,7,350000,282.71,378000,305.33
206 DONWOOD DR,4001900500,RESSD - Detached SIngle Dwelling,OS-One Storey,1968,1346,2023,3,385000,286.03,431200,320.36
55 MATTINEE BAY,4001940600,RESSD - Detached SIngle Dwelling,OS-One Storey,1969,1385,2023,1,430000,310.47,483300,348.95
67 MATTINEE BAY,4001941200,RESSD - Detached SIngle Dwelling,OS-One Storey,1967,1711,2023,9,460000,268.85,509700,297.90
1574 ROTHESAY ST,4002038900,RESSS - Side By Side,OS-One Storey,1974,864,2024,7,290000,335.65,313200,362.50
109 SUMMERFIELD WAY,4002045300,RESSD - Detached SIngle Dwelling,OS-One Storey,1972,988,2023,10,400000,404.86,442400,447.77
11 TRANQUILITY COVE,4002057900,RESSD - Detached SIngle Dwelling,OS-One Storey,1972,840,2024,9,377000,448.81,399200,475.24
55 TRANQUILITY COVE,4002061200,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1972,832,2023,6,415500,499.40,462900,556.37
62 MELLOWMEAD COVE,4002105700,RESSD - Detached SIngle Dwelling,TS-Two Storey,1975,1899,2023,1,465000,244.87,522700,275.25
58 SERENITY COVE,4002114800,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1976,1326,2024,10,465000,350.68,487800,367.87
10 MALCANA ST,4002157300,RESSS - Side By Side,OS-One Storey,1978,968,2023,7,320000,330.58,355800,367.56
18 CRANLEA PATH,4002231000,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,840,2023,8,325000,386.90,360800,429.52
54 RANCH PL,4002307600,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,1979,1821,2024,9,595000,326.74,630100,346.02
303 BONNER AVE,4002454500,RESSD - Detached SIngle Dwelling,OS-One Storey,1985,1530,2023,1,420000,274.51,472100,308.56
58 DE JONG CRES,4002478300,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,1269,2023,9,437000,344.37,484200,381.56
154 DUNITS DR,4002967900,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1985,866,2023,7,392000,452.66,435900,503.35
163 DUNITS DR,4003023800,RESSD - Detached SIngle Dwelling,OS-One Storey,1985,1084,2024,8,419000,386.53,448300,413.56
69 SUN VALLEY DR,4003231700,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1983,1059,2024,3,350000,330.50,383600,362.23
34 TOMKINS BAY,4003258400,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1987,883,2023,10,360500,408.27,398700,451.53
2213 KNOWLES AVE,4004218000,RESSD - Detached SIngle Dwelling,OS-One Storey,1977,1441,2023,6,485000,336.57,523800,363.50
348 JACQUES AVE,4004541700,RESSD - Detached SIngle Dwelling,OS-One Storey,1994,1300,2024,2,491000,377.69,521400,401.08
1210 DEVONSHIRE DR W,4004935600,RESSD - Detached SIngle Dwelling,OS-One Storey,1989,1040,2023,7,415000,399.04,447400,430.19
79 NORILYN BAY,4005056500,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,1308,2023,12,387500,296.25,427000,326.45
65 TOMLINSON AVE,4005143600,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1973,826,2024,10,333000,403.15,349300,422.88
19 MENNO BAY,4005202800,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,1211,2024,7,405000,334.43,437400,361.19
35 FLETT AVE,4005235500,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,1438,2024,2,447000,310.85,490800,341.31
50 RAVENHILL RD,4005275900,RESSS - Side By Side,OS-One Storey,1973,960,2024,12,309000,321.88,318000,331.25
5 MEGHAN COVE,4005320500,RESSD - Detached SIngle Dwelling,OS-One Storey,1978,1244,2024,5,442000,355.31,483100,388.34
143 KIRLYSTONE WAY,4005354500,RESSD - Detached SIngle Dwelling,OS-One Storey,1979,1219,2024,7,377300,309.52,407500,334.29
119 STEFANIE DR,4005400000,RESSD - Detached SIngle Dwelling,OS-One Storey,1979,1471,2025,1,420000,285.52,428000,290.96
47 COLIN MAXWELL BAY,4006115300,RESSD - Detached SIngle Dwelling,TS-Two Storey,2001,1584,2024,8,635000,400.88,656000,414.14
365 JACQUES AVE,4006124200,RESSD - Detached SIngle Dwelling,TS-Two Storey,1990,1711,2024,9,520000,303.92,534600,312.45
6 BAYNE CRES,4006547000,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1978,1505,2024,5,440000,292.36,480900,319.53
58 COLLEY CRES,4006613000,RESSD - Detached SIngle Dwelling,OS-One Storey,1976,998,2024,3,242500,242.99,265800,266.33
155 SUN VALLEY DR,4006710600,RESSS - Side By Side,OS-One Storey,1977,880,2024,1,301000,342.05,331100,376.25
142 RUSHMORE RD,4006726600,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1981,1058,2023,5,355000,335.54,396200,374.48
19 CAPRICORN PL,4006749500,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1981,1620,2024,10,456500,281.79,478900,295.62
113 SAGE WOOD AVE,4006766200,RESSS - Side By Side,OS-One Storey,1978,880,2024,4,310000,352.27,339100,385.34
110 SAGE WOOD AVE,4006795900,RESSD - Detached SIngle Dwelling,OS-One Storey,1979,1040,2023,10,380000,365.38,420300,404.13
1611 CONCORDIA AVE E,4006944400,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1986,864,2023,10,408500,472.80,439100,508.22
51 WALTER PIPER GROVE,4006981400,RESSD - Detached SIngle Dwelling,OS-One Storey,2002,1223,2023,11,475000,388.39,524400,428.78
1174 MCLEOD AVE,4007034600,RESSD - Detached SIngle Dwelling,OS-One Storey,2008,1326,2024,3,517000,389.89,566600,427.30
103 GOLIS BAY,4007145700,RESSD - Detached SIngle Dwelling,TS-Two Storey,2010,1704,2023,10,495000,290.49,532100,312.27
78 HELEN MAYBA CRES,4007157400,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,2010,1880,2023,6,560000,297.87,604800,321.70
3 LOU PELTIER CRES,4007176400,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,2010,1852,2024,5,578000,312.10,605200,326.78
115 BRIDGEWOOD DR,4007216500,RESSD - Detached SIngle Dwelling,TS-Two Storey,2012,1941,2023,7,598900,308.55,645600,332.61
51 BRUNKA PL,4007237500,RESSD - Detached SIngle Dwelling,BL-Bi-Level,2013,1578,2024,6,670000,424.59,698800,442.84
294 PHILIP LEE DR,4007252925,RESSD - Detached SIngle Dwelling,OS-One Storey,2015,1499,2023,11,560000,373.58,600900,400.87
11 CHELSTON GATE,4007254980,RESSD - Detached SIngle Dwelling,TS-Two Storey,2017,1558,2024,9,480000,308.09,493400,316.69
86 DR. DAVID MARSH ROW,4007255570,RESSD - Detached SIngle Dwelling,TS-Two Storey,2017,1704,2023,4,536000,314.55,580000,340.38
604 TRANSCONA BLVD,4007258455,RESRH - Row Housing,TS-Two Storey,2017,1309,2024,4,390000,297.94,410300,313.45
48 ART MIKI WAY,4007264660,RESSD - Detached SIngle Dwelling,TS-Two Storey,2021,1500,2024,12,491000,327.33,497900,331.93
341 PEGUIS ST,4007264855,RESRH - Row Housing,TS-Two Storey,2021,1327,2025,1,390000,293.90,393500,296.53
104 SHEILAGH BALL COVE,4007265845,RESSD - Detached SIngle Dwelling,TS-Two Storey,2022,2021,2024,12,625000,309.25,633800,313.61
505 TYSON TRAIL,4007266140,RESSD - Detached SIngle Dwelling,TS-Two Storey,2022,1609,2024,7,535000,332.50,555300,345.12
369 TYSON TRAIL,4007266265,RESSD - Detached SIngle Dwelling,TS-Two Storey,2022,2236,2024,1,625000,279.52,666900,298.26
75 CINDY KLASSEN WAY,4007267880,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1942,2023,2,571429,294.25,641100,330.12
1326 DEVONSHIRE DR W,4007268205,RESRH - Row Housing,TS-Two Storey,2023,1400,2023,7,434277,310.20,468200,334.43
1330 DEVONSHIRE DR W,4007268210,RESRH - Row Housing,TS-Two Storey,2023,1327,2023,7,384771,289.96,414800,312.58
1358 DEVONSHIRE DR W,4007268245,RESRH - Row Housing,TS-Two Storey,2023,1327,2023,6,383064,288.67,413700,311.76
446 GRASSIE BLVD 4,4007268285,RESSS - Side By Side,TS-Two Storey,2023,1490,2023,12,401033,269.15,429900,288.52
3 JERRY KLEIN DR,4007268405,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1609,2024,6,531969,330.62,554800,344.81
71 JERRY KLEIN DR,4007268490,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1830,2024,8,550845,301.01,569000,310.93
109 PRIVATE DAVY DR,4007268635,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1971,2024,5,598639,303.72,626800,318.01
129 PRIVATE DAVY DR,4007268660,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1502,2024,5,468620,312.00,490600,326.63
82 JIM GAUTHIER DR,4007268760,RESSD - Detached SIngle Dwelling,OS-One Storey,2024,1192,2024,2,650135,545.42,690400,579.19
109 KEN BUTCHART CRES,4007270400,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,2079,2024,9,566667,272.57,582500,280.18
129 KEN BUTCHART CRES,4007270425,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1881,2024,8,561905,298.73,580400,308.56
87 BIRCHBARK BAY,5001391000,RESSS - Side By Side,TS-Two Storey,1978,1170,2024,11,319000,272.65,324400,277.26
223 GARDEN PARK DR,5001495200,RESSD - Detached SIngle Dwelling,OS-One Storey,1984,1169,2024,10,418000,357.57,426800,365.10
39 RED MAPLE RD,5002779300,RESSD - Detached SIngle Dwelling,OS-One Storey,1988,890,2024,9,340000,382.02,348500,391.57
107 PINETREE CRES,5002916600,RESSD - Detached SIngle Dwelling,OS-One Storey,1989,1098,2023,8,420000,382.51,454400,413.84
95 MAYNARD CLOSE,5004113800,RESSD - Detached SIngle Dwelling,OS-One Storey,1970,1136,2024,5,365000,321.30,380300,334.77
48 MABERLEY RD,5004127000,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,1120,2024,10,377000,336.61,384900,343.66
1508 LEILA AVE,5004571200,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1985,1877,2023,9,357549,190.49,385100,205.17
118 HIDDLESTON CRES,5004649100,RESSD - Detached SIngle Dwelling,OS-One Storey,1975,1384,2024,10,419000,302.75,427800,309.10
11 JAMES CARLETON DR,5004662200,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,1076,2023,3,362000,336.43,399600,371.38
185 ADSUM DR,5004673000,RESSS - Side By Side,TS-Two Storey,1974,1168,2023,2,270000,231.16,297000,254.28
6 LARTER CRES,5004680500,RESSD - Detached SIngle Dwelling,OS-One Storey,1974,1287,2023,11,400000,310.80,427200,331.93
83 JAMES CARLETON DR,5004694300,RESSD - Detached SIngle Dwelling,OS-One Storey,1975,1220,2024,8,420000,344.26,432200,354.26
139 BLECHNER DR,5005194800,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,946,2023,6,341000,360.47,372000,393.23
471 ADSUM DR,5005284000,RESSS - Side By Side,OS-One Storey,1976,924,2023,8,272500,294.91,294800,319.05
38 ASHMORE DR,5005322200,RESSD - Detached SIngle Dwelling,OS-One Storey,1976,1072,2025,1,432500,403.45,436000,406.72
385 MANDALAY DR,5005357200,RESSS - Side By Side,OS-One Storey,1977,880,2023,10,290000,329.55,311200,353.64
167 LEAHCREST CRES,5007039300,RESSD - Detached SIngle Dwelling,TS-Two Storey,1981,1570,2023,5,420000,267.52,459900,292.93
152 MANDALAY DR,5007143800,RESSD - Detached SIngle Dwelling,OS-One Storey,1980,1040,2024,7,450000,432.69,465300,447.40
657 ADSUM DR,5007279600,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1984,1550,2023,1,329900,212.84,361600,233.29
89 SKRYPNYK CRES,5007286800,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1040,2025,1,399900,384.52,403100,387.60
58 SKRYPNYK CRES,5007292200,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1040,2024,4,367500,353.37,384800,370.00
8 AMBERGATE DR,5008157200,RESSD - Detached SIngle Dwelling,TS-Two Storey,1991,2106,2023,5,611000,290.12,669000,317.66
35 OAKBURN PL,5009074400,RESSD - Detached SIngle Dwelling,TS-Two Storey,1989,2213,2024,2,599000,270.67,631900,285.54
47 WILLOWOOD RD,5009089200,RESSD - Detached SIngle Dwelling,OS-One Storey,1988,1555,2023,8,550000,353.70,595100,382.70
51 DOBRINSKY DR,5009107000,RESSD - Detached SIngle Dwelling,OS-One Storey,1988,1050,2023,8,382000,363.81,413300,393.62
38 DOBRINSKY DR,5009117000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1988,1040,2023,9,367500,353.37,395800,380.58
135 SWINFORD WAY,5009177000,RESSD - Detached SIngle Dwelling,CO-Cabover,2004,1466,2024,3,502000,342.43,527600,359.89
167 FROG PLAIN WAY,5009199000,RESSD - Detached SIngle Dwelling,OS-One Storey,2005,1261,2024,5,579000,459.16,603300,478.43
83 DANFORD DR,5009200100,RESSD - Detached SIngle Dwelling,TS-Two Storey,2005,1510,2024,6,510000,337.75,529400,350.60
459 SWAILES AVE,5009263800,RESSD - Detached SIngle Dwelling,TS-Two Storey,2008,1712,2023,4,575000,335.86,632500,369.45
18 BARONA COVE,5009264700,RESSD - Detached SIngle Dwelling,CO-Cabover,2009,1499,2023,5,541500,361.24,592900,395.53
58 ATTRIDGE LANE,5009295500,RESSD - Detached SIngle Dwelling,OS-One Storey,2009,1241,2024,11,530000,427.07,539000,434.33
77 MARLOW CRT,5009423425,RESSS - Side By Side,TS-Two Storey,1971,1214,2024,3,301999,248.76,317400,261.45
101 LYRA GATE,5009427700,RESRH - Row Housing,TS-Two Storey,2018,1260,2024,8,377500,299.60,388400,308.25
147 PHOENIX WAY,5009428560,RESSS - Side By Side,TS-Two Storey,2019,1520,2023,10,459000,301.97,492500,324.01
557 NORTH POINT BLVD,5009432230,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1389,2023,6,438769,315.89,478700,344.64
150 CLARKLEIGH CRES,5009432535,RESSS - Side By Side,TS-Two Storey,2023,1566,2023,1,437716,279.51,479700,306.32
68 GOODMAN DR,5009432735,RESSD - Detached SIngle Dwelling,TS-Two Storey,2022,1643,2024,6,519048,315.91,538800,327.94
32 GOODMAN DR,5009432780,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1718,2024,6,454286,264.43,471500,274.45
5 GOODMAN DR,5009432995,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1872,2023,7,588457,314.35,639100,341.40
177 GOODMAN DR,5009433250,RESSS - Side By Side,TS-Two Storey,2022,1566,2023,12,466667,298.00,496500,317.05
69 SUMMERSCALES PL,5009433355,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,2270,2024,10,730476,321.80,745800,328.55
94 AVIOR DR,5009434700,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1695,2023,10,533333,314.65,572300,337.64
142 AVIOR DR,5009434760,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1646,2023,11,526667,319.97,562500,341.74
11 ARA WAY,5009435140,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1766,2023,8,590590,334.42,639000,361.83
398 NORTH POINT BLVD,5009435300,RESRH - Row Housing,TS-Two Storey,2023,1327,2023,12,387183,291.77,412000,310.47
408 NORTH POINT BLVD,5009435315,RESRH - Row Housing,TS-Two Storey,2024,1358,2024,7,382165,281.42,395200,291.02
167 AVIOR DR,5009435585,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1488,2024,7,455238,305.94,470700,316.33
536 NORTH POINT BLVD,5009435645,RESSS - Side By Side,TS-Two Storey,2024,1505,2024,8,419901,279.00,432100,287.11
116 WHOOPING CRANE DR,5009437640,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1499,2024,10,420710,280.66,429500,286.52
3 WHOOPING CRANE DR,5009438080,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,2339,2024,10,699357,299.00,714000,305.26
213 ISLAND SHORE BLVD,6002866900,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1040,2023,7,375000,360.58,407300,391.63
35 TIDEWATER BAY,6002873800,RESSD - Detached SIngle Dwelling,TS-Two Storey,1987,2583,2023,8,690000,267.13,745900,288.77
34 HUPPE BAY,6002881600,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1522,2023,6,540000,354.80,588600,386.73
54 DESJARDINS DR,6002922600,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1986,1257,2023,3,390000,310.26,430600,342.56
80 CORAL REEF COVE,6002940300,RESSD - Detached SIngle Dwelling,TS-Two Storey,1999,1808,2024,12,785000,434.18,795200,439.82
31 JOYAL PL,6003903600,RESSD - Detached SIngle Dwelling,OS-One Storey,1986,1625,2023,8,467500,287.69,505400,311.02
193 CHARBONNEAU CRES,6003921900,RESSD - Detached SIngle Dwelling,OS-One Storey,1985,1056,2023,8,397500,376.42,429700,406.91
279 ISLAND SHORE BLVD,6003936200,RESSD - Detached SIngle Dwelling,OS-One Storey,1987,1097,2024,5,436500,397.90,454800,414.59
151 DESJARDINS DR,6003940800,RESSD - Detached SIngle Dwelling,TS-Two Storey,1992,1846,2024,11,540100,292.58,549300,297.56
39 DESJARDINS DR,6003952700,RESSD - Detached SIngle Dwelling,TS-Two Storey,1989,1636,2023,8,525000,320.90,567500,346.88
12 PERES OBLATS DR,6003955500,RESSD - Detached SIngle Dwelling,OS-One Storey,1988,1188,2024,10,475000,399.83,485000,408.25
26 CASSIN CRES,6003992000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1988,1412,2024,7,495000,350.57,511800,362.46
120 DE LA SEIGNEURIE BLVD,6004019800,RESSD - Detached SIngle Dwelling,TS-Two Storey,1988,1688,2023,7,500000,296.21,543000,321.68
7 CAMIRANT CRES,6004059200,RESSD - Detached SIngle Dwelling,TS-Two Storey,1994,1691,2024,10,650000,384.39,663700,392.49
103 WILLOW POINT RD,6004699000,RESSD - Detached SIngle Dwelling,OS-One Storey,1993,1233,2024,5,432000,350.36,450100,365.04
72 TAHOE BAY,6006391000,RESSD - Detached SIngle Dwelling,OS-One Storey,1967,1244,2025,1,475000,381.83,478800,384.89
856 NIAKWA RD,6006483000,RESSD - Detached SIngle Dwelling,OS-One Storey,1970,1072,2024,9,419000,390.86,429500,400.65
79 BLUEWATER CRES,6006906400,RESSD - Detached SIngle Dwelling,OS-One Storey,1987,1636,2024,12,632100,386.37,640300,391.38
31 SWEETWATER BAY,6007681200,RESSD - Detached SIngle Dwelling,OS-One Storey,1976,1515,2023,12,550000,363.04,585200,386.27
111 EDGEMONT DR,6007851000,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1978,1266,2024,8,495000,391.00,509400,402.37
74 DRIFTWOOD BAY,6008035400,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1983,1916,2023,3,501000,261.48,553100,288.67
15 QUEENSWAY CRES,6008060600,RESSD - Detached SIngle Dwelling,OS-One Storey,1978,1204,2024,5,385000,319.77,401200,333.22
81 CLIFFWOOD DR,6008096800,RESSD - Detached SIngle Dwelling,OS-One Storey,1980,1428,2024,10,490000,343.14,500300,350.35
66 DAYTON DR,6008104900,RESSD - Detached SIngle Dwelling,FL-4 Level Split,1980,1959,2023,1,465000,237.37,517500,264.17
23 BURMAC RD,6008232000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1992,1866,2023,10,500000,267.95,536500,287.51
987 DUGAS ST,6021024000,RESSD - Detached SIngle Dwelling,OS-One Storey,1937,918,2023,2,315000,343.14,349300,380.50
20 CHIPPAWA BAY,6021365000,RESSD - Detached SIngle Dwelling,OS-One Storey,1958,1029,2024,11,395000,383.87,401700,390.38
3 BITTERSWEET BAY,6021571000,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,1132,2024,10,300000,265.02,306300,270.58
13 FRONTENAC BAY,6022141000,RESSD - Detached SIngle Dwelling,OS-One Storey,1956,936,2023,11,362500,387.29,387200,413.68
60 CRESTWOOD CRES,6022647000,RESSD - Detached SIngle Dwelling,OS-One Storey,1958,1037,2023,7,430000,414.66,467000,450.34
1065 BETOURNAY ST,6022885800,RESSD - Detached SIngle Dwelling,TL-3 Level Split,1961,1027,2023,8,377500,367.58,408100,397.37
149 HARPER AVE,6023239000,RESSD - Detached SIngle Dwelling,OS-One Storey,1959,816,2024,11,383149,469.55,389700,477.57
6 HUMBER RD,6023448000,RESSD - Detached SIngle Dwelling,OS-One Storey,1962,1335,2024,2,470000,352.06,495900,371.46
50 HANSFORD RD,6023863000,RESSD - Detached SIngle Dwelling,OS-One Storey,1964,1174,2024,8,375000,319.42,385900,328.71
496 KAVANAGH ST,6030580000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,913,2024,3,335000,366.92,360100,394.41
545 DOUCET ST,6030796000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1928,1132,2024,8,273000,241.17,285600,252.30
12 CANBERRA RD,6043123100,RESSS - Side By Side,TS-Two Storey,1960,1040,2024,4,260000,250.00,272000,261.54
4 MONACO BAY,6043291000,RESSD - Detached SIngle Dwelling,OS-One Storey,1961,927,2024,5,411000,443.37,428300,462.03
45 GREENWICH BAY,6044181000,RESSD - Detached SIngle Dwelling,OS-One Storey,1962,1016,2023,6,415000,408.46,452400,445.28
20 PEMBROKE RD,6044248000,RESSD - Detached SIngle Dwelling,OS-One Storey,1962,981,2023,9,342500,349.13,368900,376.04
1163 PATERSON ST,6044875600,RESSD - Detached SIngle Dwelling,TS-Two Storey,1977,1176,2023,12,349900,297.53,372300,316.58
430 NOTRE DAME ST,6051040000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1948,900,2023,9,312501,347.22,340900,378.78
197 MASSON ST,6060058000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1910,1808,2024,7,275000,152.10,289300,160.01
255 DOLLARD BLVD,6070641000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1946,1126,2024,8,372400,330.73,389500,345.91
195 DOLLARD BLVD,6070959000,RESMC - Multi-Family Conversion,TS-Two Storey,1946,1720,2024,6,575000,334.30,608900,354.01
389 ST JEAN BAPTISTE ST,6071033000,RESSD - Detached SIngle Dwelling,TL-3 Level Split,1948,2367,2023,5,430000,181.66,473400,200.00
210 HORACE ST,6075351000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1908,1312,2024,6,382500,291.54,405100,308.77
89 YOUVILLE ST,6081041000,RESSD - Detached SIngle Dwelling,OS-One Storey,1948,720,2024,12,292013,405.57,297600,413.33
97 HILL ST,6081250000,RESSD - Detached SIngle Dwelling,OS-One Storey,1928,982,2023,9,240000,244.40,261800,266.60
397 HORACE ST,6081430000,RESTR - Triplex,TS-Two Storey,2020,1950,2023,7,845000,433.33,926100,474.92
59 HILL ST,6081680000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1945,1110,2024,11,317500,286.04,325800,293.51
104 BRAEMAR AVE,6081711000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1945,1350,2023,8,349900,259.19,382400,283.26
207 LAWNDALE AVE,6090201000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1913,1648,2023,10,415000,251.82,451500,273.97
107 CLAREMONT AVE,6090360000,RESSD - Detached SIngle Dwelling,OS-One Storey,1939,864,2024,3,274900,318.17,295500,342.01
201 CLAREMONT AVE,6090406000,RESSD - Detached SIngle Dwelling,OS-One Storey,1927,1028,2024,4,293500,285.51,314900,306.32
125 MONCK AVE,6090445000,RESSD - Detached SIngle Dwelling,TH-Two & 1/2 Storey,1914,1977,2025,3,524900,265.50,524900,265.50
140 MONCK AVE,6090565000,RESSD - Detached SIngle Dwelling,OH-One & 1/2 Storey,1930,1796,2024,9,478000,266.15,496600,276.50
143 ASHDALE AVE,6091568000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1948,1268,2024,10,420000,331.23,433400,341.80
815 JOHN BRUCE RD E,6092935600,RESSD - Detached SIngle Dwelling,TS-Two Storey,2003,1706,2023,5,595000,348.77,651500,381.89
104 BRIAN MONKMAN BAY,6092983800,RESSD - Detached SIngle Dwelling,TO-Two/One Storey,2004,1633,2024,7,610000,373.55,630700,386.22
42 WESTWATER DR,6092994000,RESSD - Detached SIngle Dwelling,TS-Two Storey,2004,2161,2023,9,720000,333.18,775400,358.82
59 NORTHPORT BAY,6093047800,RESSD - Detached SIngle Dwelling,OS-One Storey,2005,1799,2023,7,615000,341.86,667900,371.26
35 MONTVALE CRES,6093051500,RESSD - Detached SIngle Dwelling,CO-Cabover,2007,1734,2024,4,545000,314.30,570100,328.78
