Property Address,Roll Number,Property Use Code,Building Type,Year Built,Living Area SqFt,Sale Year,Sale Month,Sale Price,Sale Price/SqFt,Time Adjusted Sale Price,Time Adjusted Sale Price/SqFt
37 ANTRIM RD,4005120300,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,936,2023,3,380000,405.98,425600,454.70
35 MENNO BAY,4005201600,RESSD - Detached SIngle Dwelling,OS-One Storey,1973,1256,2024,9,390000,310.51,413000,328.82
214 REAY CRES,4005263500,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1973,880,2024,5,361000,410.23,394600,448.41
67 TIMBERLINE DR,4005451800,RESSD - Detached SIngle Dwelling,OS-One Storey,1994,1234,2025,1,495000,401.13,504400,408.75
39 DEERING CLOSE,4005454600,RESSD - Detached SIngle Dwelling,OS-One Storey,1997,1447,2024,2,490000,338.63,538000,371.80
119 ORUM DR,4006144800,RESSD - Detached SIngle Dwelling,TS-Two Storey,1999,1582,2023,10,475000,300.25,510600,322.76
2 AMELIA CRES,4006519500,RESSS - Side By Side,OS-One Storey,1976,864,2024,1,280000,324.07,308000,356.48
35 SOUTHWELL RD,4006827100,RESSD - Detached SIngle Dwelling,OS-One Storey,1979,1028,2023,9,415000,403.70,459800,447.28
406 GRASSIE BLVD,4006926600,RESSD - Detached SIngle Dwelling,BL-Bi-Level,1987,868,2023,8,378000,435.48,407100,469.01
14 WHITTINGTON RD,4006964000,RESSD - Detached SIngle Dwelling,TS-Two Storey,1986,1548,2023,6,465000,300.39,502200,324.42
258 JACQUES AVE,4007038000,RESSD - Detached SIngle Dwelling,CO-Cabover,2009,2129,2024,7,649900,305.26,674600,316.86
30 ROD BLACK CRES,4007108400,RESSD - Detached SIngle Dwelling,TS-Two Storey,2009,1773,2024,12,550200,310.32,557900,314.66
27 REG WYATT WAY,4007124100,RESSD - Detached SIngle Dwelling,CO-Cabover,2008,1868,2023,7,537000,287.47,578900,309.90
366 KILDONAN MEADOW DR,4007167500,RESSD - Detached SIngle Dwelling,TS-Two Storey,2012,1916,2024,9,570000,297.49,586000,305.85
390 KILDONAN MEADOW DR,4007168100,RESSD - Detached SIngle Dwelling,TS-Two Storey,2012,1894,2024,10,574900,303.54,588100,310.51
42 TERRY SCOTT BAY,4007212600,RESSD - Detached SIngle Dwelling,TS-Two Storey,2015,1884,2023,10,675000,358.28,725600,385.14
560 TRANSCONA BLVD,4007258565,RESRH - Row Housing,TS-Two Storey,2017,1309,2024,11,410000,313.22,417800,319.17
303 EL TASSI DR,4007259245,RESSS - Side By Side,TS-Two Storey,2018,1513,2024,8,485000,320.56,501000,331.13
229 EL TASSI DR,4007259330,RESSS - Side By Side,TS-Two Storey,2018,1492,2024,3,435000,291.55,459800,308.18
1465 RAVELSTON AVE W,4007262100,RESSS - Side By Side,TS-Two Storey,2020,1492,2023,7,450000,301.61,485100,325.13
367 EL TASSI DR,4007264720,RESSS - Side By Side,TS-Two Storey,2024,1512,2024,10,461810,305.43,472400,312.43
190 TYSON TRAIL,4007265280,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2185,2023,5,645953,295.63,698300,319.59
72 WILLIAM TWEED TR,4007265365,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1587,2023,3,556401,350.60,603100,380.03
92 SHEILAGH BALL COVE,4007265830,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1958,2023,4,622285,317.82,673300,343.87
68 DAVID GEORGE DR,4007265855,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2114,2023,5,729066,344.88,788100,372.80
365 TYSON TRAIL,4007266270,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2268,2023,2,648613,285.98,703700,310.27
326 TYSON TRAIL,4007266535,RESSS - Side By Side,TS-Two Storey,2023,1541,2023,5,462857,300.36,500300,324.66
180 BILL DANCE DR,4007267600,RESSS - Side By Side,TS-Two Storey,2023,1520,2023,7,358571,235.90,386500,254.28
179 BILL DANCE DR,4007267730,RESSS - Side By Side,TS-Two Storey,2023,1520,2023,8,404667,266.23,435800,286.71
19 CINDY KLASSEN WAY,4007267810,RESSD - Detached SIngle Dwelling,CO-Cabover,2023,1678,2023,3,480857,286.57,538600,320.98
23 CINDY KLASSEN WAY,4007267815,RESSD - Detached SIngle Dwelling,OS-One Storey,2023,1405,2023,6,514190,365.97,572800,407.69
67 JERRY KLEIN DR,4007268485,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,1695,2023,8,528474,311.78,569200,335.81
6 JERRY KLEIN DR,4007268540,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,2046,2024,10,571283,279.22,584400,285.63
40 JERRY KLEIN DR,4007268575,RESSD - Detached SIngle Dwelling,TS-Two Storey,2023,2256,2023,10,705947,312.92,758900,336.39
22 JIM GAUTHIER DR,4007268830,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1701,2024,7,565714,332.58,587200,345.21
2 JIM GAUTHIER DR,4007268855,RESSD - Detached SIngle Dwelling,TS-Two Storey,2024,1751,2024,8,540000,308.40,557800,318.56
